clr.Ag,clr.Cu,clr.Pb,clr.Zn,clr.Mo,clr.Ni,clr.Cd,clr.Te,clr.Ba,clr.As,clr.Sb,clr.Hg
-0.198590592,3.261447289,0.214427971,-1.770949497,-1.528541334,-3.716859646,-6.795973528,0.724253095,-1.675639317,1.195250974,0.448036572,-3.001950973
-0.14217629,3.045927877,1.126655087,-1.728871039,-0.839457769,-4.087025984,-6.809464922,1.413336659,-1.66348828,1.251665277,0.504450875,-2.556878681
-0.622639388,4.502406258,-1.088215939,-2.87261453,-2.423217005,-3.404493563,-8.031169954,-0.170422577,-3.12750678,0.771202179,0.023987777,-3.071827955
-0.363927846,3.047319872,0.993196138,-1.646142921,-1.309388955,-3.592053071,-6.933531217,0.943405473,-1.386317803,1.029913721,0.282699319,-2.697284597
-0.595490189,4.274372551,-0.694294258,-2.631772236,-2.437263563,-3.360010737,-7.874209144,-0.184469135,-2.344090164,0.798351378,0.051136976,-3.281067534
-0.503497943,4.242750841,-0.773582474,-2.490357063,-2.108583541,-3.247220058,-7.661335007,0.144210887,-2.396169848,0.890343623,0.143129222,-3.083714773
-0.584093596,4.364021341,-1.074286775,-3.098713143,-2.409287842,-4.106353654,-8.018376659,-0.156493413,-2.787500573,1.517820801,0.062533569,-3.818236893
-0.241842305,2.88172334,0.744602687,-1.33819853,-0.998366618,-3.403653829,-6.377407196,1.25442781,-1.218851772,1.151999262,0.40478486,-3.045202686
-0.566024276,4.09798641,-1.197695909,-2.41098244,-2.532696976,-3.989961145,-7.762222208,-0.279902547,-2.781000799,0.82781729,0.080602889,-3.800167573
-0.613553882,3.991616304,-1.200713784,-2.470040108,-2.535714851,-3.944441736,-7.665409505,-0.282920422,-3.225319069,0.780287685,0.033073283,-3.847697179
-0.559601769,4.199719097,-1.023619473,-2.374230268,-2.35862054,-3.296563314,-7.569599665,-0.105826112,-2.148679976,1.381969978,0.087025396,-3.793745066
-0.513670509,3.944896203,-0.66951685,-2.74146772,-2.004517917,-4.055788581,-7.722689129,0.248276512,-2.167036846,1.531085475,0.132956656,-2.945467333
-0.53048648,4.576376846,-0.889316994,-2.282118158,-2.224318061,-4.216978471,-7.558456618,0.028476368,-2.04572938,0.863355086,0.116140685,-1.642828962
