NMUESTRA,LONGITUD,LATITUD,ELEVACION,Pathf Au-Ag,Perjudiciales lixivcn,,,,,,,,,,,,
12818,788129.47,88858.60,901.87,-5.101128261,-7.404186058,,,,,,,,,,,,
12824,799625.88,78900.88,1799.8,-5.105111564,-7.437280165,,,,,,,,,,,,
12831,793523.01,85622.25,1199.56,-5.465403679,-8.041218815,,,,,,,,,,,,
12832,784515.91,79044.62,1205.3,-5.188103145,-7.5697172,,,,,,,,,,,,
12837,808714.26,83298.72,1815.94,-5.098656648,-7.377100985,,,,,,,,,,,,
12839,811012.59,94324.36,1240.89,-5.428212283,-8.029223136,,,,,,,,,,,,
12844,793387.28,85579.86,1199.67,-5.069861857,-7.315083318,,,,,,,,,,,,
12850,809431.58,92083.17,893.7,-5.299552059,-7.735944388,,,,,,,,,,,,
12851,808363.39,87110.80,1399.07,-5.007432588,-7.258274414,,,,,,,,,,,,
12853,804865.63,90489.15,1204.2,-5.35281902,-7.814151831,,,,,,,,,,,,
12854,796635.48,80570.36,1599.33,-5.228601248,-7.582967608,,,,,,,,,,,,
12855,787642.09,91472.64,934.16,-5.21106191,-7.536079558,,,,,,,,,,,,
12857,794507.12,96380.13,699.35,-5.293033081,-7.801761929,,,,,,,,,,,,
12862,799346.65,88288.89,1404.92,-5.381828815,-7.813691221,,,,,,,,,,,,
12864,791837.75,91132.41,899.94,-5.370283674,-7.874592595,,,,,,,,,,,,
12866,804649.87,90534.33,1268.62,-5.260908863,-7.526393631,,,,,,,,,,,,
12867,793782.60,84050.48,1401.89,-5.223102391,-7.81647497,,,,,,,,,,,,
12868,788315.28,92536.94,829.04,-5.2978004,-7.85008109,,,,,,,,,,,,
12870,803662.82,94302.44,881.41,-5.315658108,-7.628418713,,,,,,,,,,,,
12873,794909.16,83750.30,1399.85,-5.451548809,-7.827417378,,,,,,,,,,,,
12874,799539.27,87655.67,1399.91,-5.183528669,-7.623154965,,,,,,,,,,,,
12876,806491.29,83458.24,2200.23,-5.173839167,-7.537857377,,,,,,,,,,,,
12878,805458.34,91604.47,1062.21,-5.108948099,-7.312027467,,,,,,,,,,,,
12881,788555.08,96681.69,814.71,-5.245683912,-7.630315909,,,,,,,,,,,,
12883,796935.25,93658.13,930.34,-5.27483809,-7.861302038,,,,,,,,,,,,
12886,795525.13,83101.24,1400.55,-5.189750248,-7.636598529,,,,,,,,,,,,
12887,805327.00,84792.14,1999.51,-5.180289276,-7.423266152,,,,,,,,,,,,
12889,807217.78,91142.88,998.14,-5.053089187,-7.397795328,,,,,,,,,,,,
12891,808910.62,93439.94,1005.87,-5.517548774,-8.065292924,,,,,,,,,,,,
12893,793128.51,86119.19,1252.9,-5.353500075,-7.653755813,,,,,,,,,,,,
12894,802448.45,81040.52,2211.03,-4.811379366,-6.941690796,,,,,,,,,,,,
12895,797086.81,93659.01,929.78,-5.385079167,-7.969568602,,,,,,,,,,,,
12899,805286.15,84874.66,1999.54,-5.269869725,-7.691226238,,,,,,,,,,,,
12902,792847.56,89889.42,999.89,-5.447219541,-8.011538746,,,,,,,,,,,,
12903,786174.88,90589.10,1201.66,-5.071895141,-7.303991428,,,,,,,,,,,,
12905,797221.01,80355.09,1612.02,-5.159941399,-7.484309928,,,,,,,,,,,,
12906,787730.59,91323.64,971.05,-5.014178407,-7.197706998,,,,,,,,,,,,
12912,798763.82,87829.00,1399.75,-5.214212278,-7.669108185,,,,,,,,,,,,
12914,793082.30,91108.30,908.06,-5.30674673,-7.827541427,,,,,,,,,,,,
12916,804699.22,90395.49,1263.7,-4.965566086,-6.874116081,,,,,,,,,,,,
12917,794800.96,83542.03,1399.89,-5.167561775,-7.619194872,,,,,,,,,,,,
12918,788138.07,91889.65,798.69,-5.071046901,-7.424341675,,,,,,,,,,,,
12921,796476.22,94948.60,818.28,-5.366166071,-7.976116111,,,,,,,,,,,,
12924,790672.87,87129.82,1199.66,-5.352817883,-8.097399363,,,,,,,,,,,,
12925,799660.48,87729.50,1399.91,-4.959006992,-7.075926404,,,,,,,,,,,,
12927,791761.65,91068.67,899.89,-5.316611673,-7.999492414,,,,,,,,,,,,
12929,805634.36,91583.10,1050.99,-5.402523197,-7.862670598,,,,,,,,,,,,
12931,788795.96,93206.03,805.48,-5.137469757,-7.526407896,,,,,,,,,,,,
12933,796640.29,94978.39,853.55,-5.125227764,-7.512941221,,,,,,,,,,,,
12936,795454.69,82949.94,1401.62,-5.028948694,-7.284846836,,,,,,,,,,,,
12937,795201.49,89522.72,1200.03,-5.380783633,-7.993850988,,,,,,,,,,,,
12938,785538.12,84848.08,1373.86,-5.226723635,-7.929588089,,,,,,,,,,,,
12939,806971.40,91511.02,995.59,-5.448770649,-7.941864406,,,,,,,,,,,,
12942,803073.80,87385.80,1599.76,-5.164141308,-7.640603299,,,,,,,,,,,,
12944,788915.53,92937.27,806.94,-5.132057184,-7.477046406,,,,,,,,,,,,
12949,795748.70,82489.00,1399.27,-5.039002501,-7.114313166,,,,,,,,,,,,
12951,792262.45,85842.91,1200.15,-4.929796327,-7.190650185,,,,,,,,,,,,
12954,795021.82,83397.48,1399.88,-5.253248439,-7.445334567,,,,,,,,,,,,
12964,795168.30,83718.50,1399.87,-5.571478751,-8.17089783,,,,,,,,,,,,
12972,800612.28,85812.03,1599.85,-5.146523227,-7.489141197,,,,,,,,,,,,
12974,796970.76,88676.61,1199.9,-5.487362406,-8.053501528,,,,,,,,,,,,
12978,801974.09,87878.86,1599.43,-5.058652189,-7.341577397,,,,,,,,,,,,
12981,790150.62,95530.90,699.09,-5.452251381,-8.048469935,,,,,,,,,,,,
12986,802403.72,84824.17,1799.81,-5.270499036,-7.860920574,,,,,,,,,,,,
12987,797262.36,88987.07,1200.18,-5.489631024,-8.08399608,,,,,,,,,,,,
12992,799719.18,78957.64,1799.74,-4.892407852,-7.265917581,,,,,,,,,,,,
12993,790197.58,94028.35,771.7,-5.338880817,-7.889084068,,,,,,,,,,,,
12998,802564.45,84948.32,1800.03,-5.290397218,-7.777940562,,,,,,,,,,,,
13002,796725.93,89115.70,1200.01,-5.400973098,-8.030500537,,,,,,,,,,,,
13003,801020.67,85710.32,1599.92,-5.011261507,-7.342847216,,,,,,,,,,,,
13006,809589.35,89985.00,913.6,-5.165797295,-7.620193237,,,,,,,,,,,,
13008,808138.02,85575.72,1626.8,-4.989391422,-7.22838549,,,,,,,,,,,,
13016,799468.63,78980.14,1799.93,-4.824864668,-7.405933811,,,,,,,,,,,,
13017,791459.89,86637.47,1199.97,-4.887950036,-7.106822807,,,,,,,,,,,,
13019,791478.83,86726.16,1200.02,-5.259411749,-7.69229882,,,,,,,,,,,,
13022,796768.40,80670.67,1599.43,-4.935994459,-7.184049707,,,,,,,,,,,,
13038,803116.98,87535.38,1604.96,-5.14264751,-7.488489468,,,,,,,,,,,,
